default_id,default_exercise,default_muscle,default_equipment
1,Dumbbell Bench Press,Chest,Dumbbell
2,Pushups,Chest,Body Only
3,Close-grip bench press,Chest,Barbell
4,Dumbbell Flyes,Chest,Dumbbell
5,Incline dumbbell bench press,Chest,Dumbbell
6,Low-cable cross-over,Chest,Cable
7,Barbell Bench Press - Medium Grip,Chest,Barbell
8,Chest dip,Chest,Other
9,Decline Dumbbell Flyes,Chest,Dumbbell
10,Bodyweight Flyes,Chest,E-Z Curl Bar
11,Incline cable chest fly,Chest,Cable
12,Decline barbell bench press,Chest,Barbell
13,Wide-grip bench press,Chest,Barbell
14,Wide-Grip Decline Barbell Bench Press,Chest,Barbell
15,Reverse-grip incline dumbbell bench press,Chest,Dumbbell
16,Rickshaw Carry,Forearms,Other
17,Palms-down wrist curl over bench,Forearms,Barbell
18,Straight-bar wrist roll-up,Forearms,Barbell
19,Dumbbell farmer's walk,Forearms,Dumbbell
20,Palms-up wrist curl over bench,Forearms,Barbell
21,Standing behind-the-back wrist curl,Forearms,Barbell
22,Seated finger curl,Forearms,Barbell
23,Seated Two-Arm Palms-Up Low-Pulley Wrist Curl,Forearms,Cable
24,Wrist Roller,Forearms,Other
25,Seated One-Arm Dumbbell Palms-Up Wrist Curl,Forearms,Dumbbell
26,Seated Palms-Down Barbell Wrist Curl,Forearms,Barbell
27,Dumbbell Lying Supination,Forearms,Dumbbell
28,Dumbbell Lying Pronation,Forearms,Dumbbell
29,Seated palms-up wrist curl,Forearms,Barbell
30,Palms-Up Dumbbell Wrist Curl Over A Bench,Forearms,Dumbbell
31,Weighted pull-up,Lats,Other
32,Pullups,Lats,Body Only
33,Rocky Pull-Ups/Pulldowns,Lats,Other
34,Close-grip pull-down,Lats,Cable
35,Pull-up,Lats,Body Only
36,Muscle Up,Lats,Body Only
37,Shotgun row,Lats,Cable
38,Close-Grip Front Lat Pulldown,Lats,Cable
39,V-bar pull-up,Lats,Pull Up Bar
40,Rope climb,Lats,Body Only
41,Wide-Grip Rear Pull-Up,Lats,Body Only
42,Straight-arm rope pull-down,Lats,Cable
43,Lat pull-down,Lats,Cable
44,Reverse-grip lat pull-down,Lats,Machine
45,Gironda Sternum Chins,Lats,Other
46,Single-Leg Press,Quadriceps,Machine
47,Landmine twist,Abdominals,Other
48,T-Bar Row with Handle,Middle Back,Other
49,Atlas Stones,Lower Back,Other
50,Dumbbell front raise to lateral raise,Shoulders,Dumbbell
51,Clean from Blocks,Quadriceps,Barbell
52,Incline Hammer Curls,Biceps,Dumbbell
53,Barbell glute bridge,Glutes,Barbell
54,Clean and press,Shoulders,Barbell
55,Triceps dip,Triceps,Body Only
56,Dumbbell farmer's walk,Forearms,Other
57,Lying Face Down Plate Neck Resistance,Neck,Other
58,Lying Face Up Plate Neck Resistance,Neck,Other
59,Seated Head Harness Neck Resistance,Neck,Other
60,Isometric Neck Exercise - Sides,Neck,Body Only
61,Isometric Neck Exercise - Front And Back,Neck,Body Only
62,Neck Bridge Prone,Neck,Body Only
63,Side Neck Stretch,Neck,Body Only
64,Chin To Chest Stretch,Neck,Body Only
65,Neck-SMR,Neck,Body Only
66,Barbell Full Squat,Quadriceps,Barbell
67,Tire flip,Quadriceps,Other
68,Barbell back squat to box,Quadriceps,Barbell
69,Push-press,Quadriceps,Barbell
70,Power snatch-,Quadriceps,Barbell
71,Hang Clean,Quadriceps,Barbell
72,Reverse Band Box Squat,Quadriceps,Other
73,Jumping rope,Quadriceps,Body Only
74,Barbell walking lunge,Quadriceps,Barbell
75,Front Squats With Two Kettlebells,Quadriceps,Kettlebells
76,Single Leg Push-off,Quadriceps,Other
77,Olympic Squat,Quadriceps,Barbell
78,Stair climber,Quadriceps,Machine
79,Barbell Deadlift,Hamstrings,Barbell
80,Romanian Deadlift With Dumbbells,Hamstrings,Dumbbell
81,Clean Deadlift,Hamstrings,Barbell
82,Sumo deadlift,Hamstrings,Barbell
83,Romanian Deadlift from Deficit,Hamstrings,Barbell
84,Power Snatch,Hamstrings,Barbell
85,Power Clean from Blocks,Hamstrings,Barbell
86,Natural Glute Ham Raise,Hamstrings,Body Only
87,Glute ham raise-,Hamstrings,None
88,Snatch Deadlift,Hamstrings,Barbell
89,Lying Leg Curls,Hamstrings,Machine
